#t x y z vx vy vz
3.50 -61.61 128.41 -52.30 -39.98 120.36 -30.21
3.57 -64.79 137.51 -54.38 -42.04 132.82 -28.11
3.64 -67.92 147.62 -56.33 -43.03 149.36 -27.66
3.71 -71.00 159.04 -58.08 -42.80 171.40 -21.09
3.79 -74.03 171.93 -59.23 -43.33 191.80 -10.85
3.86 -77.11 186.68 -59.36 -36.46 227.77 10.36
3.93 -78.79 204.30 -57.23 -5.65 264.88 57.14
4.00 -76.82 223.05 -50.40 57.23 245.61 129.52
4.07 -71.10 238.30 -40.15 91.24 182.42 148.37
4.14 -64.54 249.32 -30.14 84.74 125.31 128.88
4.21 -58.73 257.02 -21.86 74.75 89.23 103.57
4.29 -53.73 262.48 -15.12 67.37 65.38 86.12
4.36 -49.22 266.33 -9.66 62.96 45.05 70.86
4.43 -44.78 268.84 -4.98 61.82 26.40 62.79
4.50 -40.63 270.12 -0.92 58.66 8.83 52.72
4.57 -36.47 270.26 2.75 53.52 -5.99 49.88
4.64 -32.60 269.42 6.15 51.92 -17.43 43.33
4.71 -29.08 267.85 9.09 52.17 -28.43 37.66
4.79 -25.44 265.41 11.69 50.91 -40.02 32.72
4.86 -21.90 262.14 14.02 49.74 -51.18 29.93
4.93 -18.55 258.21 16.11 44.90 -60.44 25.91
5.00 -15.50 253.55 17.82 42.90 -70.80 21.38
5.07 -12.66 248.13 19.10 37.02 -80.04 14.59
5.14 -9.88 242.10 19.82 36.84 -88.43 5.15
5.21 -7.44 235.56 19.88 29.99 -92.73 -6.13
5.29 -5.11 228.88 18.85 32.25 -89.51 -19.83
5.36 -2.70 222.36 17.32 36.92 -89.57 -23.52
5.43 -0.15 215.50 15.78 37.30 -99.07 -21.05
5.50 2.36 207.98 14.31 35.90 -113.13 -18.32
5.57 4.74 199.33 13.03 32.48 -129.95 -15.73
5.64 6.73 189.16 11.67 24.39 -151.54 -20.29
5.71 7.99 177.43 9.80 10.95 -174.90 -32.39
5.79 8.31 163.96 7.30 -10.96 -223.53 -49.03
5.86 4.23 144.62 1.54 -171.68 -232.79 -87.64
5.93 -4.45 135.18 -0.80 -81.25 -73.05 -13.98
6.00 -7.71 131.60 -0.52 23.25 -34.35 22.48
6.07 -6.02 131.40 1.26 79.25 0.74 47.69
6.14 0.16 133.58 5.16 125.47 42.32 72.76
6.21 13.90 139.21 11.82 184.90 133.84 119.42
6.29 21.62 144.58 18.95 37.39 -44.73 30.95
6.36 23.01 140.00 18.70 41.66 -50.45 22.60
6.43 25.42 138.15 20.12 41.85 -26.82 18.32
6.50 28.80 136.97 22.58 42.41 -20.49 21.85
6.57 31.89 135.11 24.65 41.61 -31.21 21.57
6.64 34.87 133.13 27.09 39.72 -23.20 34.20
6.71 37.73 131.52 29.97 37.90 -26.04 34.00
6.79 40.34 129.52 32.51 43.39 -27.63 40.59
6.86 44.44 125.28 35.86 40.58 -31.53 29.26
6.93 46.89 122.97 37.40 42.13 -31.41 24.24
7.00 49.81 120.47 39.39 37.22 -29.13 22.80
7.07 52.64 119.03 40.81 37.90 -23.42 30.24
7.14 54.56 118.48 41.43 33.35 -21.45 20.51
7.21 55.50 116.00 43.20 36.65 -24.11 20.99
7.29 59.71 115.20 44.35 32.87 -27.17 21.10
7.36 60.32 112.38 45.99 31.12 -25.12 21.96
7.43 62.83 110.74 47.76 31.17 -22.53 26.60
7.50 65.38 109.19 49.60 30.58 -24.15 24.40
7.57 67.89 107.40 51.39 28.67 -26.95 23.14
7.64 70.44 105.62 53.20 31.52 -25.25 30.06
7.71 72.89 104.13 55.24 28.88 -21.54 25.38
7.79 75.05 102.71 56.90 29.08 -20.70 18.78
7.86 77.09 101.25 58.22 30.48 -17.01 18.70
7.93 79.44 100.02 59.52 32.98 -20.25 18.12
8.00 80.85 98.84 59.92 36.93 -16.79 21.42
8.07 83.61 97.88 61.57 37.96 -17.04 22.45
8.14 86.02 96.23 63.21 38.09 -19.71 22.75
8.21 89.37 95.69 65.32 38.36 -16.88 29.75
8.29 92.00 93.90 67.86 41.14 -16.74 35.00
8.36 95.14 92.20 70.07 40.39 -23.35 38.78
8.43 97.84 90.60 72.62 37.89 -22.81 37.14
8.50 100.34 88.79 74.92 34.60 -25.16 32.52
8.57 102.80 86.87 77.08 32.58 -24.90 26.22
8.64 105.18 84.95 79.08 32.43 -25.62 27.04
8.71 107.37 82.91 80.87 31.41 -25.46 19.98
8.79 109.35 80.72 82.43 26.69 -27.34 14.37
8.86 111.53 78.81 83.95 32.93 -25.93 18.96
8.93 113.87 76.91 85.51 32.93 -25.50 21.60
9.00 116.04 75.07 87.13 30.58 -24.30 20.22
9.07 118.61 73.80 88.69 29.26 -24.33 20.12
9.14 120.41 71.67 90.14 30.31 -27.73 19.05
9.21 122.61 69.89 91.57 31.44 -25.34 21.90
9.29 124.85 68.15 93.08 31.47 -25.83 21.36
9.36 127.06 66.36 94.43 28.70 -25.79 17.97
9.43 129.09 64.41 95.71 27.41 -29.36 20.60
9.50 130.97 62.73 97.35 25.30 -22.18 24.07
9.57 132.91 61.49 99.10 27.00 -17.20 27.03
9.64 134.83 60.58 100.87 29.34 -13.47 24.72
9.71 137.00 59.07 102.48 28.88 -14.69 22.00
9.79 139.37 58.10 104.34 31.94 -18.14 24.80
9.86 141.96 57.02 106.36 35.88 -16.45 25.83
9.93 144.18 55.97 108.09 36.75 -17.16 29.77
10.00 146.83 54.42 110.15 38.25 -19.83 31.63
10.07 149.65 53.10 112.74 35.95 -21.97 31.81
10.14 152.17 51.63 114.99 31.18 -19.81 34.89
10.21 154.47 50.50 117.45 33.20 -17.92 32.50
10.29 156.73 48.93 119.96 33.25 -18.53 31.92
10.36 158.91 47.45 121.56 34.02 -16.92 29.99
10.43 161.26 46.07 123.43 34.10 -19.60 24.36
10.50 163.53 44.23 125.17 29.74 -26.74 20.32
10.57 165.82 42.24 126.79 32.25 -31.86 18.16
10.64 168.02 40.12 128.03 30.71 -31.59 17.27
10.71 170.18 38.03 129.45 29.18 -30.44 17.71
10.79 172.05 36.11 130.75 25.13 -23.87 18.38
10.86 173.95 34.60 132.24 25.99 -20.50 18.61
10.93 175.96 33.27 133.78 30.43 -17.45 24.22
11.00 178.18 32.10 135.73 31.85 -17.31 27.24
11.07 180.37 30.82 137.65 30.35 -20.46 27.00
11.14 182.44 29.36 139.53 29.56 -21.89 28.97
11.21 184.40 27.20 141.45 29.66 -22.44 28.71
11.29 186.60 26.34 143.40 29.32 -18.34 28.50
11.36 188.62 24.28 145.18 29.41 -22.64 27.79
11.43 190.87 23.17 146.72 31.35 -19.16 26.73
